"3-D MAN/CHARLES CHAN";"3-D MAN"
ROBERTSON,MARTHA;RISQUE
"ROBERTSON,PROF. BOB";RISQUE
ROBERTSON,RANDY;RISQUE
"ROBESON,PROFESSOR K";RISQUE
ROBINSON,LUCY;RISQUE
"ROCKET RACCOON";"ROCKET RACCOON"
"ROCKET RACER/ROBERT ";"ROCKET RACER"
ROUGHHOUSE;ROUGHHOUSE
"ROULETTE/DUDE JENSEN";ROULETTE
ROUSSEAU,ETIENNE;ROULETTE
RUSSIAN;RUSSIAN
"SABRA/RUTH BAT-SERAP";SABRA
"SABRETOOTH/VICTOR CR";SABRETOOTH
"SANDMAN/WILLIAM BAKE";SANDMAN
"SANDOR,PROFESSOR IS";SANDMAN
SANDOVAL,DIEGO;SANDMAN
SANDOVAL,JULIANA;SANDMAN
"SANTA CLAUS/NICK ST.";"SANTA CLAUS"
"SANTINI,DR. JOSE";"SANTA CLAUS"
SANTOS,JOSE;"SANTA CLAUS"
SANTOS,MARIO;"SANTA CLAUS"
SAPIR,HERSCHEL;"SANTA CLAUS"
SATANA;SATANA
"SAURON/DR. KARL LYKO";SAURON
SCALPHUNTER;SCALPHUNTER
"SCARLET WITCH/WANDA ";"SCARLET WITCH"
"SCARLOTTI,MICHAEL J";"SCARLET WITCH"
SCARLOTTI,MRS.;"SCARLET WITCH"
SCARPETTI,ALPHONSE;"SCARLET WITCH"
"SCHEMER/RICHARD FISK";"RICHARD FISK"
SCOURGE;SCOURGE
SCRAMBLER;SCRAMBLER
SELENE;SELENE
SENTINELS;SENTINELS
SERSI/SYLVIA;SERSI
"SHADOW KING/AMAHL FA";"SHADOW KING"
"SHADOWCAT/KATHERINE ";SHADOWCAT
SHADOWKNIGHT/RANDALL;RANDALL
"SHAMAN/MICHAEL TWOYO";SHAMAN
SHANG-CHI;SHANG-CHI
SHAPE;SHAPE
SHARD;SHARD
SHAW,SHINOBI;"SHINOBI SHAW"
SHELDON,PHIL;"PHIL SHELDON"
SHIVA;SHIVA
"SHIVER MAN";"SHIVER MAN"
"SHOCKWAVE/LANCASTER ";SHOCKWAVE
SHOOTER,JIM;SHOCKWAVE
"SHOOTING STAR";"SHOOTING STAR"
"SHOTGUN/ZEKE SALLING";SHOTGUN
"SHRIEK/SANDRA DEEL/F";SHRIEK
SIF;SIF
SILHOUETTE;SILHOUETTE
"SILVER FOX/BAYAN";"SILVER FOX"
"SILVER SABLE";"SILVER SABLE"
"SILVER SAMURAI/KENYU";"SILVER SAMURAI"
"SILVER SURFER/NORRIN";"SILVER SURFER"
"SILVERCLAW/LA GARRA ";SILVERCLAW
SILVERCLOUD,SAM;SILVERCLAW
"SILVERMANE/SILVIO MA";SILVERMANE
SITWELL,JASPER;"JASPER SITWELL"
"SKIN/ANGELO ESPINOSA";SKIN
SLEEPER;SLEEPER
SLEEPWALKER;SLEEPWALKER
SLYDE;SLYDE
"SMILING TIGER/";"SMILING TIGER"
SMITH,ANDY;"SMILING TIGER"
"SMITH,COL. TOLLIVER";"SMILING TIGER"
SMITH,DAPHNE;"SMILING TIGER"
"SMITH,DR. ARMSTRONG";"SMILING TIGER"
"SMITH,HELEN BACK";"SMILING TIGER"
SMITH,JOE;"SMILING TIGER"
SMITH,KEVIN;"SMILING TIGER"
SMITH,MANDY;"SMILING TIGER"
"SMITH,MARTY LOUIS L";"SMILING TIGER"
"SMITH,SIR DENIS NAY";"SMILING TIGER"
"SMITH,WANDA JO BIAL";"SMILING TIGER"
SMITHSON,T.B.;"SMILING TIGER"
SMYTHE,SPENCER;"SPENCER SMYTHE"
"SNOWBIRD/NARYA/ANNE ";SNOWBIRD
"SPIDER-MAN/PETER PAR";SPIDER-MAN
"SPITFIRE/LADY JACQUE";SPITFIRE
SPITZ,BARRY;SPITFIRE
SPOT/;SPOT
SPRITE;SPRITE
"SQUIRREL GIRL/";"SQUIRREL GIRL"
STACY,GWEN;"GWEN STACY"
STANE,OBADIAH;"OBADIAH STANE"
STARBOLT;STARBOLT
"STARDUST/T'URIN G'AR";STARDUST
STARFOX/EROS;STARFOX
STARK,MORGAN;"MORGAN STARK"
"STELLARIS/LEAH PRINC";STELLARIS
STICK;STICK
"STORM/ORORO MUNROE S";STORM
STRANGER;STRANGER
"STRONG GUY/GUIDO CAR";"STRONG GUY"
"STRONG,MARTIN HENRY";"STRONG GUY"
STRONG,SUSAN;"STRONG GUY"
STRYFE;STRYFE
"SUB-MARINER/NAMOR MA";SUB-MARINER
"SUEE,FAH LO";SUB-MARINER
"SUGAR MAN";"SUGAR MAN"
SUMO;SUMO
"SUNFIRE/SHIRO YASHID";SUNFIRE
"SUNFIRE/SHIRO YOSHID";SUNFIRE
"SUNSPOT/ROBERTO DACO";SUNSPOT
SUPER-ADAPTOID/ALESS;SUPER-ADAPTOID
"SUPREME INTELLIGENCE";"SUPREME INTELLIGENCE"
SURGE;SURGE
"SWARM/FRITZ VON MEYE";SWARM
"SWITCH/DEVON ALOMAR";SWITCH
SWITZLER,BEVERLY;SWITCH
"SWORDSMAN/JACQUES DU";SWORDSMAN
"SYNCH/EVERETT THOMAS";SYNCH
TALBOT,GLENN;"GLENN TALBOT"
TALOS;TALOS
"TANA NILE";"TANA NILE"
"TAROT/MARIE-ANGE COL";TAROT
"TARR,BLACK JACK";TAROT
TASKMASTER;TASKMASTER
TEMPEST/GRANNZ;TEMPEST
TERRAX;TERRAX
